seed,lambda
112915,3.147519
17474,3.245601
77580,3.259176
190407,3.267489
21228,3.274119
116851,3.279425
112805,3.284193
145391,3.288286
171520,3.292172
146679,3.295788
38754,3.298978
31032,3.301956
115341,3.304693
123516,3.307372
50912,3.309872
146500,3.312283
51216,3.314514
96043,3.316726
31703,3.318893
42043,3.320939
52235,3.322891
153286,3.324834
164641,3.326791
167468,3.328640
62066,3.330488
187972,3.332329
192588,3.334131
49692,3.335886
162157,3.337622
8368,3.339328
170086,3.340986
147275,3.342624
122623,3.344267
58747,3.345864
137559,3.347418
70617,3.348994
11535,3.350547
89014,3.352138
23978,3.353666
73742,3.355243
114395,3.356841
176912,3.358379
73772,3.359941
35554,3.361532
133312,3.363033
22231,3.364543
110241,3.366034
60958,3.367609
119494,3.369132
66357,3.370665
18985,3.372242
73278,3.373781
88466,3.375314
82273,3.376906
173017,3.378434
114853,3.379979
125806,3.381561
20831,3.383138
58063,3.384758
168995,3.386353
103898,3.387976
56314,3.389634
89440,3.391326
198267,3.393024
32804,3.394768
117390,3.396521
21810,3.398303
49259,3.400107
140714,3.401861
74717,3.403740
127822,3.405622
181253,3.407472
63022,3.409510
179120,3.411507
100424,3.413638
163489,3.415722
67540,3.417853
6824,3.420043
10615,3.422263
37156,3.424747
31144,3.427213
151300,3.429776
134351,3.432416
97297,3.435207
32820,3.438027
71401,3.441028
4779,3.444262
42293,3.447524
95830,3.451089
124658,3.454914
127655,3.458891
163163,3.463249
138898,3.468182
112220,3.473430
155670,3.479763
116865,3.487380
44035,3.496670
64059,3.508990
101199,3.528293
96032,3.711816
